Region,Years,Population
Qinghai,2004,539
Qinghai,2005,543
Qinghai,2006,548
Qinghai,2007,552
Qinghai,2008,554
Qinghai,2009,557
Qinghai,2010,563
Qinghai,2011,568
Qinghai,2012,571
Qinghai,2013,571
Qinghai,2014,576
Qinghai,2015,577
Qinghai,2016,582
Qinghai,2017,586
Qinghai,2018,587
Qinghai,2019,590
Qinghai,2020,593
Ningxia,2000,554
Ningxia,2001,563
Ningxia,2002,572
Ningxia,2003,580
Ningxia,2004,588
Ningxia,2005,596
Ningxia,2006,604
Ningxia,2007,610
Ningxia,2008,618
Ningxia,2009,625
Ningxia,2010,633
Ningxia,2011,648
Ningxia,2012,659
Ningxia,2013,666
Ningxia,2014,678
Ningxia,2015,684
Ningxia,2016,695
Ningxia,2017,705
Ningxia,2018,710
Ningxia,2019,717
Ningxia,2020,721
Xinjiang,2000,1849
Xinjiang,2001,1876
Xinjiang,2002,1905
Xinjiang,2003,1934
Xinjiang,2004,1963
Xinjiang,2005,2010
Xinjiang,2006,2050
Xinjiang,2007,2095
Xinjiang,2008,2131
Xinjiang,2009,2159
Xinjiang,2010,2185
Xinjiang,2011,2225
Xinjiang,2012,2253
Xinjiang,2013,2285
Xinjiang,2014,2325
Xinjiang,2015,2385
Xinjiang,2016,2428
Xinjiang,2017,2480
Xinjiang,2018,2520
Xinjiang,2019,2559
Xinjiang,2020,2590
